station name: LODI WWTP,,,,,,,,,,
station identifier: 474790,,,,,,,,,,
key: T=trace | M=missing | blank=unknown,,,,,,,,,,
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
12/19/05,14,-10,0,0,6,8,8,8,0,8
12/20/05,14,-9,0,0,6,8,8,8,0,8
12/21/05,22,6,0,0,6,8,8,8,0,8
12/22/05,21,4,0,T,6,8,8,8,0,8
12/23/05,39,20,0,0,6,8,8,8,0,8
12/24/05,49,28,0,0,5,8,8,8,0,8
12/25/05,35,30,T,T,3,8,8,8,0,8
12/26/05,37,32,0,0,3,8,8,8,0,8
12/27/05,37,31,0,0,2,8,8,8,0,8
12/28/05,35,31,T,T,1,8,8,8,0,8
12/29/05,34,31,0,0,0,8,8,8,0,8
12/30/05,36,31,0,0,0,8,8,8,0,8
12/31/05,34,32,0.05,T,0,8,8,8,0,8
1/1/06,35,30,0,0,0,8,8,8,0,8
1/2/06,37,29,0.25,0,0,8,8,8,0,8
1/3/06,38,34,0.6,0,0,8,8,8,0,8
1/4/06,38,34,0.05,0,0,8,8,8,0,8
1/5/06,38,32,T,0,0,8,8,8,0,8
1/6/06,33,26,0,0,0,8,8,8,0,8
1/7/06,32,26,0,0,0,8,8,8,0,8
1/8/06,36,26,0,0,0,8,8,8,0,8
1/9/06,39,32,T,T,T,8,8,8,0,8
1/10/06,33,14,0,0,0,8,8,8,0,8
1/11/06,36,14,0,0,0,8,8,8,0,8
1/12/06,43,27,0,0,0,8,8,8,0,8
1/13/06,53,29,0,0,0,8,8,8,0,8
1/14/06,36,24,0,0,0,8,8,8,0,8
1/15/06,38,24,0,0,0,8,8,8,0,8
1/16/06,42,29,0,0,0,8,8,8,0,8
1/17/06,46,30,0,0,0,8,8,8,0,8
1/18/06,46,15,0,0,0,8,8,8,0,8
1/19/06,30,15,0,0,0,8,8,8,0,8
1/20/06,45,28,0,0,0,8,8,8,0,8
1/21/06,45,4,0.23,4,4,8,8,8,0,8
1/22/06,35,4,0,0,2,8,8,8,0,8
1/23/06,35,4,0,0,1,8,8,8,0,8
1/24/06,38,13,0,0,1,8,8,8,0,8
1/25/06,40,24,0,T,0,8,8,8,0,8
1/26/06,38,17,0,0,0,8,8,8,0,8
1/27/06,46,17,0,0,0,8,8,8,0,8
1/28/06,53,17,T,0,0,8,8,8,0,8
1/29/06,40,34,0.72,0,0,8,8,8,0,8
1/30/06,38,30,0.13,T,0,8,8,8,0,8
1/31/06,31,19,0,0,0,8,8,8,0,8
2/1/06,41,19,T,0,0,8,8,8,0,8
2/2/06,40,25,0,0,0,8,8,8,0,8
2/3/06,44,28,T,0,0,8,8,8,0,8
2/4/06,44,23,T,T,T,8,8,8,0,8
2/5/06,25,17,0,0,T,8,8,8,0,8
2/6/06,32,16,0,0,T,8,8,8,0,8
2/7/06,32,16,0,0,T,8,8,8,0,8
2/8/06,32,14,0,0,T,8,8,8,0,8
2/9/06,30,7,0,0,0,8,8,8,0,8
2/10/06,30,8,0.07,1,1,8,8,8,0,8
2/11/06,36,23,0,0,T,8,8,8,0,8
2/12/06,30,22,0,T,0,8,8,8,0,8
2/13/06,27,14,0,0,0,8,8,8,0,8
2/14/06,34,14,0,0,0,8,8,8,0,8
2/15/06,51,26,0,0,0,8,8,8,0,8
2/16/06,32,20,0.08,1,1,8,8,8,0,8
2/17/06,24,7,0.46,8,8,8,8,8,0,8
2/18/06,14,-17,0,0,7,8,8,8,0,8
2/19/06,6,-14,0,0,7,8,8,8,0,8
2/20/06,19,-9,0,0,7,8,8,8,0,8
2/21/06,30,3,0,0,6,8,8,8,0,8
2/22/06,33,4,0,0,5,8,8,8,0,8
2/23/06,41,13,0,0,4,8,8,8,0,8
2/24/06,33,7,0,0,4,8,8,8,0,8
2/25/06,43,16,0,0,4,8,8,8,0,8
2/26/06,31,1,0,0,4,8,8,8,0,8
2/27/06,33,1,0,0,3,8,8,8,0,8
2/28/06,31,17,0,0,3,8,8,8,0,8
3/1/06,36,20,0,0,3,8,8,8,0,8
3/2/06,39,29,0,T,2,8,8,8,0,8
3/3/06,39,17,T,T,2,8,8,8,0,8
3/4/06,33,9,0,0,2,8,8,8,0,8
3/5/06,41,9,0,0,1,8,8,8,0,8
3/6/06,31,28,0.32,3,4,8,8,8,0,8
3/7/06,36,12,0,0,3,8,8,8,0,8
3/8/06,40,15,0.09,0,2,8,8,8,0,8
3/9/06,49,31,0.37,0,1,8,8,8,0,8
3/10/06,39,34,0,0,0,8,8,8,0,8
3/11/06,57,35,0,0,0,8,8,8,0,8
3/12/06,66,29,0,0,0,8,8,8,0,8
3/13/06,50,30,0.88,0,0,8,8,8,0,8
3/14/06,46,22,T,0,0,8,8,8,0,8
3/15/06,39,20,0,0,0,8,8,8,0,8
3/16/06,39,21,0,0,0,8,8,8,0,8
3/17/06,39,16,0.29,3,2,8,8,8,0,8
3/18/06,39,16,0,0,1,8,8,8,0,8
3/19/06,41,19,0,0,T,8,8,8,0,8
3/20/06,48,25,0,0,0,8,8,8,0,8
3/21/06,41,25,0,0,0,8,8,8,0,8
3/22/06,38,23,0,0,0,8,8,8,0,8
3/23/06,50,28,0,0,0,8,8,8,0,8
3/24/06,39,30,T,T,T,8,8,8,0,8
3/25/06,40,31,T,T,0,8,8,8,0,8
3/26/06,44,24,0,0,0,8,8,8,0,8
3/27/06,53,26,0,0,0,8,8,8,0,8
3/28/06,50,32,0.05,0,0,8,8,8,0,8
3/29/06,56,26,0,0,0,8,8,8,0,8
3/30/06,48,31,0,0,0,8,8,8,0,8
3/31/06,65,43,0.15,0,0,8,8,8,0,8
4/1/06,54,39,0.09,0,0,8,8,8,0,8
4/2/06,54,38,0,0,0,8,8,8,0,8
4/3/06,45,38,1,0,0,8,8,8,0,8
4/4/06,53,34,0,0,0,8,8,8,0,8
4/5/06,57,26,0,0,0,8,8,8,0,8
4/6/06,59,26,0,0,0,8,8,8,0,8
4/7/06,61,41,1.52,0,0,8,8,8,0,8
4/8/06,44,25,0.41,0,0,8,8,8,0,8
4/9/06,51,25,0,0,0,8,8,8,0,8
4/10/06,61,28,0,0,0,8,8,8,0,8
4/11/06,74,42,0,0,0,8,8,8,0,8
4/12/06,73,52,0.1,0,0,8,8,8,0,8
4/13/06,74,44,0,0,0,8,8,8,0,8
4/14/06,76,45,0.03,0,0,8,8,8,0,8
4/15/06,84,37,0,0,0,8,8,8,0,8
4/16/06,73,47,0.09,0,0,8,8,8,0,8
4/17/06,56,35,0.42,0,0,8,8,8,0,8
4/18/06,66,38,0,0,0,8,8,8,0,8
4/19/06,68,40,0.2,0,0,8,8,8,0,8
4/20/06,70,37,0,0,0,8,8,8,0,8
4/21/06,71,37,0,0,0,8,8,8,0,8
4/22/06,64,43,0.07,0,0,8,8,8,0,8
4/23/06,62,36,0,0,0,8,8,8,0,8
4/24/06,66,38,0,0,0,8,8,8,0,8
4/25/06,75,36,0.26,0,0,8,8,8,0,8
4/26/06,54,30,0,0,0,8,8,8,0,8
4/27/06,67,36,0,0,0,8,8,8,0,8
4/28/06,72,32,0,0,0,8,8,8,0,8
4/29/06,71,38,0,0,0,8,8,8,0,8
4/30/06,57,49,1.42,0,0,8,8,8,0,8
5/1/06,58,53,0.14,0,0,8,8,8,0,8
5/2/06,64,49,0.24,0,0,8,8,8,0,8
5/3/06,75,49,0,0,0,8,8,8,0,8
5/4/06,74,41,0.09,0,0,8,8,8,0,8
5/5/06,66,42,0,0,0,8,8,8,0,8
5/6/06,52,30,0,0,0,8,8,8,0,8
5/7/06,67,33,0,0,0,8,8,8,0,8
5/8/06,73,38,0,0,0,8,8,8,0,8
5/9/06,71,52,0.02,0,0,8,8,8,0,8
5/10/06,71,52,0.5,0,0,8,8,8,0,8
5/11/06,71,51,0.04,0,0,8,8,8,0,8
5/12/06,51,34,1.11,0,0,8,8,8,0,8
5/13/06,46,37,0.15,0,0,8,8,8,0,8
5/14/06,54,42,0.38,0,0,8,8,8,0,8
5/15/06,53,50,0.12,0,0,8,8,8,0,8
5/16/06,61,48,0.25,0,0,8,8,8,0,8
5/17/06,73,43,0.02,0,0,8,8,8,0,8
5/18/06,70,44,0.28,0,0,8,8,8,0,8
5/19/06,63,37,0,0,0,8,8,8,0,8
5/20/06,66,36,0,0,0,8,8,8,0,8
5/21/06,75,37,T,0,0,8,8,8,0,8
5/22/06,62,34,0,0,0,8,8,8,0,8
5/23/06,71,39,0,0,0,8,8,8,0,8
5/24/06,79,52,0.04,0,0,8,8,8,0,8
5/25/06,85,58,0.69,0,0,8,8,8,0,8
5/26/06,75,60,0.42,0,0,8,8,8,0,8
5/27/06,85,62,0,0,0,8,8,8,0,8
5/28/06,85,62,T,0,0,8,8,8,0,8
5/29/06,93,71,0,0,0,8,8,8,0,8
5/30/06,92,66,0,0,0,8,8,8,0,8
5/31/06,78,64,0.62,0,0,8,8,8,0,8
6/1/06,81,54,T,0,0,8,8,8,0,8
6/2/06,83,53,0,0,0,8,8,8,0,8
6/3/06,81,51,0,0,0,8,8,8,0,8
6/4/06,79,47,0,0,0,8,8,8,0,8
6/5/06,81,48,0,0,0,8,8,8,0,8
6/6/06,84,56,0.05,0,0,8,8,8,0,8
6/7/06,76,56,0.06,0,0,8,8,8,0,8
6/8/06,85,53,0,0,0,8,8,8,0,8
6/9/06,84,56,0,0,0,8,8,8,0,8
6/10/06,67,48,0.4,0,0,8,8,8,0,8
6/11/06,69,48,0,0,0,8,8,8,0,8
6/12/06,68,42,0,0,0,8,8,8,0,8
6/13/06,76,47,0,0,0,8,8,8,0,8
6/14/06,80,53,0,0,0,8,8,8,0,8
6/15/06,78,55,T,0,0,8,8,8,0,8
6/16/06,82,61,0,0,0,8,8,8,0,8
6/17/06,91,74,0,0,0,8,8,8,0,8
6/18/06,90,69,0.05,0,0,8,8,8,0,8
6/19/06,83,58,0.16,0,0,8,8,8,0,8
6/20/06,78,53,0,0,0,8,8,8,0,8
6/21/06,78,63,0.05,0,0,8,8,8,0,8
6/22/06,81,59,0.16,0,0,8,8,8,0,8
6/23/06,81,49,0,0,0,8,8,8,0,8
6/24/06,80,52,0,0,0,8,8,8,0,8
6/25/06,77,57,0.11,0,0,8,8,8,0,8
6/26/06,77,56,1.27,0,0,8,8,8,0,8
6/27/06,74,51,0.09,0,0,8,8,8,0,8
6/28/06,78,52,0,0,0,8,8,8,0,8
6/29/06,76,49,0.09,0,0,8,8,8,0,8
6/30/06,82,53,0,0,0,8,8,8,0,8
7/1/06,86,60,0,0,0,8,8,8,0,8
7/2/06,88,64,0.19,0,0,8,8,8,0,8
7/3/06,86,61,0,0,0,8,8,8,0,8
7/4/06,84,64,0,0,0,8,8,8,0,8
7/5/06,79,51,0,0,0,8,8,8,0,8
7/6/06,79,53,0,0,0,8,8,8,0,8
7/7/06,84,52,0,0,0,8,8,8,0,8
7/8/06,85,53,0,0,0,8,8,8,0,8
7/9/06,85,55,0.06,0,0,8,8,8,0,8
7/10/06,90,56,T,0,0,8,8,8,0,8
7/11/06,81,60,T,0,0,8,8,8,0,8
7/12/06,68,62,1.21,0,0,8,8,8,0,8
7/13/06,87,61,0,0,0,8,8,8,0,8
7/14/06,89,64,0.07,0,0,8,8,8,0,8
7/15/06,89,65,0.05,0,0,8,8,8,0,8
7/16/06,94,65,0,0,0,8,8,8,0,8
7/17/06,93,77,0,0,0,8,8,8,0,8
7/18/06,95,59,0,0,0,8,8,8,0,8
7/19/06,86,54,0,0,0,8,8,8,0,8
7/20/06,82,M,0.91,0,0,8,8,8,0,8
7/21/06,87,63,0,0,0,8,8,8,0,8
7/22/06,M,M,M,0,0,,,,0,8
7/23/06,87,55,0.22A,0,0,8,8,0,0,8
7/24/06,84,66,0,0,0,8,8,8,0,8
7/25/06,89,68,0.08,0,0,8,8,8,0,8
7/26/06,91,71,0.27,0,0,8,8,8,0,8
7/27/06,88,69,0,0,0,8,8,8,0,8
7/28/06,86,64,0,0,0,8,8,8,0,8
7/29/06,91,67,0,0,0,8,8,8,0,8
7/30/06,93,71,0,0,0,8,8,8,0,8
7/31/06,92,70,0.08,0,0,8,8,8,0,8
8/1/06,98,70,0,0,0,8,8,8,0,8
8/2/06,95,74,0.05,0,0,8,8,8,0,8
8/3/06,90,66,T,0,0,8,8,8,0,8
8/4/06,86,57,0,0,0,8,8,8,0,8
8/5/06,90,57,0,0,0,8,8,8,0,8
8/6/06,83,59,0.51,0,0,8,8,8,0,8
8/7/06,82,60,0.33,0,0,8,8,8,0,8
8/8/06,83,57,0,0,0,8,8,8,0,8
8/9/06,82,55,0,0,0,8,8,8,0,8
8/10/06,85,55,0.1,0,0,8,8,8,0,8
8/11/06,81,63,0,0,0,8,8,8,0,8
8/12/06,77,53,0,0,0,8,8,8,0,8
8/13/06,83,53,0,0,0,8,8,8,0,8
8/14/06,83,60,0.02,0,0,8,8,8,0,8
8/15/06,80,52,0,0,0,8,8,8,0,8
8/16/06,81,51,0,0,0,8,8,8,0,8
8/17/06,88,52,0,0,0,8,8,8,0,8
8/18/06,71,61,0.17,0,0,8,8,8,0,8
8/19/06,78,64,1.3,0,0,8,8,8,0,8
8/20/06,79,52,0,0,0,8,8,8,0,8
8/21/06,80,54,0,0,0,8,8,8,0,8
8/22/06,81,55,0,0,0,8,8,8,0,8
8/23/06,84,56,0,0,0,8,8,8,0,8
8/24/06,83,57,2.45,0,0,8,8,8,0,8
8/25/06,76,65,0.54,0,0,8,8,8,0,8
8/26/06,74,64,0.41,0,0,8,8,8,0,8
8/27/06,78,63,0,0,0,8,8,8,0,8
8/28/06,81,59,0,0,0,8,8,8,0,8
8/29/06,69,56,0.12,0,0,8,8,8,0,8
8/30/06,80,57,0,0,0,8,8,8,0,8
8/31/06,79,49,0,0,0,8,8,8,0,8
9/1/06,78,51,0,0,0,8,8,8,0,8
9/2/06,79,49,0,0,0,8,8,8,0,8
9/3/06,78,49,0,0,0,8,8,8,0,8
9/4/06,78,52,0.3,0,0,8,8,8,0,8
9/5/06,66,55,0.14,0,0,8,8,8,0,8
9/6/06,80,51,0,0,0,8,8,8,0,8
9/7/06,82,52,0,0,0,8,8,8,0,8
9/8/06,82,52,0.08,0,0,8,8,8,0,8
9/9/06,81,50,0.14,0,0,8,8,8,0,8
9/10/06,59,50,T,0,0,8,8,8,0,8
9/11/06,59,52,0.58,0,0,8,8,8,0,8
9/12/06,59,55,1.12,0,0,8,8,8,0,8
9/13/06,60,55,1.29,0,0,8,8,8,0,8
9/14/06,67,47,0,0,0,8,8,8,0,8
9/15/06,76,49,0,0,0,8,8,8,0,8
9/16/06,78,49,0,0,0,8,8,8,0,8
9/17/06,80,49,0.2,0,0,8,8,8,0,8
9/18/06,83,46,0.23,0,0,8,8,8,0,8
9/19/06,64,48,0,0,0,8,8,8,0,8
9/20/06,54,34,0.03,0,0,8,8,8,0,8
9/21/06,60,35,0,0,0,8,8,8,0,8
9/22/06,67,35,0.17,0,0,8,8,8,0,8
9/23/06,72,47,0.05,0,0,8,8,8,0,8
9/24/06,65,47,0.39,0,0,8,8,8,0,8
9/25/06,66,40,T,0,0,8,8,8,0,8
9/26/06,69,36,0,0,0,8,8,8,0,8
9/27/06,70,37,0.1,0,0,8,8,8,0,8
9/28/06,61,38,0.05,0,0,8,8,8,0,8
9/29/06,59,36,0.07,0,0,8,8,8,0,8
9/30/06,60,40,T,0,0,8,8,8,0,8
10/1/06,66,36,0.04,0,0,8,8,8,0,8
10/2/06,77,53,0,0,0,8,8,8,0,8
10/3/06,85,52,0.05,0,0,8,8,8,0,8
10/4/06,79,52,0.45,0,0,8,8,8,0,8
10/5/06,64,37,0.02,0,0,8,8,8,0,8
10/6/06,61,32,0,0,0,8,8,8,0,8
10/7/06,65,33,0,0,0,8,8,8,0,8
10/8/06,71,44,0,0,0,8,8,8,0,8
10/9/06,76,51,0,0,0,8,8,8,0,8
10/10/06,76,42,0,0,0,8,8,8,0,8
10/11/06,55,44,0.34,0,0,8,8,8,0,8
10/12/06,47,27,0.16,T,T,8,8,8,0,8
10/13/06,36,27,0,0,0,8,8,8,0,8
10/14/06,43,31,0,0,0,8,8,8,0,8
10/15/06,47,23,0,0,0,8,8,8,0,8
10/16/06,58,26,T,0,0,8,8,8,0,8
10/17/06,56,48,0.35,0,0,8,8,8,0,8
10/18/06,56,45,T,0,0,8,8,8,0,8
10/19/06,47,37,0.16,0,0,8,8,8,0,8
10/20/06,47,27,0,0,0,8,8,8,0,8
10/21/06,48,27,0.05,0,0,8,8,8,0,8
10/22/06,42,32,0.62,T,T,8,8,8,0,8
10/23/06,40,30,0.17,0,0,8,8,8,0,8
10/24/06,39,24,0,0,0,8,8,8,0,8
10/25/06,47,22,0,0,0,8,8,8,0,8
10/26/06,52,23,0,0,0,8,8,8,0,8
10/27/06,50,38,0,0,0,8,8,8,0,8
10/28/06,50,30,0,0,0,8,8,8,0,8
10/29/06,51,27,0,0,0,8,8,8,0,8
10/30/06,57,30,0,0,0,8,8,8,0,8
10/31/06,69,32,0,0,0,8,8,8,0,8
11/1/06,42,20,0,0,0,8,8,8,0,8
11/2/06,41,24,0,0,0,8,8,8,0,8
11/3/06,36,14,0,0,0,8,8,8,0,8
11/4/06,39,15,0,0,0,8,8,8,0,8
11/5/06,50,15,0,0,0,8,8,8,0,8
11/6/06,61,28,0,0,0,8,8,8,0,8
11/7/06,53,36,0,0,0,8,8,8,0,8
11/8/06,60,38,0,0,0,8,8,8,0,8
11/9/06,72,37,0,0,0,8,8,8,0,8
11/10/06,62,34,0,0,0,8,8,8,0,8
11/11/06,35,30,0.35,1.5,2,8,8,8,0,8
11/12/06,40,24,0,0,T,8,8,8,0,8
11/13/06,43,32,0.03,0,0,8,8,8,0,8
11/14/06,39,34,0.05,0,0,8,8,8,0,8
11/15/06,39,29,0,0,0,8,8,8,0,8
11/16/06,43,31,0,0,0,8,8,8,0,8
11/17/06,40,27,0,0,0,8,8,8,0,8
11/18/06,39,28,0,0,0,8,8,8,0,8
11/19/06,43,31,0,0,0,8,8,8,0,8
11/20/06,42,20,0,0,0,8,8,8,0,8
11/21/06,45,20,0,0,0,8,8,8,0,8
11/22/06,55,29,0,0,0,8,8,8,0,8
11/23/06,56,29,0,0,0,8,8,8,0,8
11/24/06,60,29,0,0,0,8,8,8,0,8
11/25/06,56,32,0,0,0,8,8,8,0,8
11/26/06,50,33,0,0,0,8,8,8,0,8
11/27/06,56,40,0.2,0,0,8,8,8,0,8
11/28/06,54,43,1.12,0,0,8,8,8,0,8
11/29/06,59,44,0.15,0,0,8,8,8,0,8
11/30/06,44,17,0.13,0,0,8,8,8,0,8
12/1/06,23,16,0,0,0,8,8,8,0,8
12/2/06,29,16,0,0,0,8,8,8,0,8
12/3/06,32,12,0,0,0,8,8,8,0,8
12/4/06,20,11,0,0,0,8,8,8,0,8
12/5/06,30,6,0,0,0,8,8,8,0,8
12/6/06,34,8,T,T,0,8,8,8,0,8
12/7/06,34,5,0,0,0,8,8,8,0,8
12/8/06,18,5,0,0,0,8,8,8,0,8
12/9/06,30,8,0,0,0,8,8,8,0,8
12/10/06,47,21,0,0,0,8,8,8,0,8
12/11/06,46,24,0,0,0,8,8,8,0,8
12/12/06,M,31,0.05,0,0,8,8,8,0,8
12/13/06,47,31,T,0,0,8,8,8,0,8
12/14/06,43,28,0,0,0,8,8,8,0,8
12/15/06,54,36,T,0,0,8,8,8,0,8
12/16/06,37,28,0,0,0,8,8,8,0,8
12/17/06,48,28,0,0,0,8,8,8,0,8
12/18/06,44,23,0,0,0,8,8,8,0,8
12/19/06,35,18,0,0,0,8,8,8,0,8
12/20/06,45,18,0,0,0,8,8,8,0,8
12/21/06,42,24,0.19,0,0,8,8,8,0,8
12/22/06,39,35,0.52,0,0,8,8,8,0,8
12/23/06,40,35,0.32,0,0,8,8,8,0,8
12/24/06,36,22,0,0,0,8,8,8,0,8
12/25/06,45,24,0,0,0,8,8,8,0,8
12/26/06,32,25,0,0,0,8,8,8,0,8
12/27/06,34,25,0,0,0,8,8,8,0,8
12/28/06,40,28,T,0,0,8,8,8,0,8
12/29/06,42,34,0,0,0,8,8,8,0,8
12/30/06,41,32,0,0,0,8,8,8,0,8
12/31/06,44,33,0,0,0,8,8,8,0,8
1/1/07,49,35,0.3,0,0,8,8,8,0,8
1/2/07,42,24,0,0,0,8,8,8,0,8
1/3/07,42,24,0,0,0,8,8,8,0,8
1/4/07,53,33,0,0,0,8,8,8,0,8
1/5/07,49,37,0,0,0,8,8,8,0,8
1/6/07,47,31,0,0,0,8,8,8,0,8
1/7/07,39,24,0,0,0,8,8,8,0,8
1/8/07,44,23,T,0,0,8,8,8,0,8
1/9/07,39,22,0,0,0,8,8,8,0,8
1/10/07,28,14,0,0,0,8,8,8,0,8
1/11/07,36,15,0,0,0,8,8,8,0,8
1/12/07,46,34,0.03,0,0,8,8,8,0,8
1/13/07,34,18,T,0,0,8,8,8,0,8
1/14/07,25,18,0.1,0.5,T,8,8,8,0,8
1/15/07,27,18,0.23,1.5,2,8,8,8,0,8
1/16/07,22,1,0.08,0.5,4,8,8,8,0,8
1/17/07,20,-6,0,0,4,8,8,8,0,8
1/18/07,24,4,T,T,4,8,8,8,0,8
1/19/07,30,4,T,T,4,8,8,8,0,8
1/20/07,26,-4,0,0,4,8,8,8,0,8
1/21/07,22,-5,0.11,1,5,8,8,8,0,8
1/22/07,27,16,0.25,4,8,8,8,8,0,8
1/23/07,28,11,T,T,8,8,8,8,0,8
1/24/07,24,18,0,0,8,8,8,8,0,8
1/25/07,26,6,0,0,8,8,8,8,0,8
1/26/07,24,13,0,0,8,8,8,8,0,8
1/27/07,43,17,0,0,8,8,8,8,0,8
1/28/07,30,7,T,T,7,8,8,8,0,8
1/29/07,20,2,T,T,7,8,8,8,0,8
1/30/07,25,8,0.05,0.5,7,8,8,8,0,8
1/31/07,21,-1,T,T,7,8,8,8,0,8
2/1/07,19,-2,T,T,7,8,8,8,0,8
2/2/07,22,1,T,T,7,8,8,8,0,8
2/3/07,9,-6,T,T,7,8,8,8,0,8
2/4/07,1,-12,T,T,7,8,8,8,0,8
2/5/07,1,-17,0,0,7,8,8,8,0,8
2/6/07,4,-19,0,0,7,8,8,8,0,8
2/7/07,8,-6,0.05,1,8,8,8,8,0,8
2/8/07,16,-8,0,0,8,8,8,8,0,8
2/9/07,18,-10,0,0,8,8,8,8,0,8
2/10/07,16,-10,0,0,8,8,8,8,0,8
2/11/07,15,-4,0,0,8,8,8,8,0,8
2/12/07,20,10,0.1,2,9,8,8,8,0,8
2/13/07,24,12,T,T,9,8,8,8,0,8
